-2100;-2200;guerre;ukraine;none;extinction de la Culture des catacombes et apparation de la Culture de Sroubna;expension de la Culture Yamna;Culture Yamna,Culture des catacombes
-1300;-1250;guerre;Grece;Guerre de Troie;Guerre entre Troie et la civilisation mycenienne;destruction de troie et chute de la civilisation mycenienne;Troie,Civilisation mycenienne
-814;-814;fondation;tunisie;fondation de carthage;none;none;Carthage
-753;-753;fondation;Rome;fondation de Rome;none;none;Rome
-384;-384;guerre;Rome;Sac de Rome;Reconnaissance par les grecs, renformacement de l'enceinte de rome;forte expansion de Rome;Republique romaine,Gaulois
-264;-241;guerre;Sicile;Guerre Punique 1;Rome annexe la Sicile;Affaiblissement de Carthage et creation d'une haine pour Rome;Rome,Carthage
-218;-202;guerre;Catalogne;Guerre Punique 2;Rome annehantie Carthage;Rome deviens la puissance inconteste de la mediterannee;Rome,Carthage
-58;-51;guerre;Gaules;Guerre des Gaules;Invasion de la Gaule par Jules Cesar;Annexion de la Gaule a l'empire;Gaulois,Empire Romains
352;354;guerre;Russie du Sud;Guerre entre les Alains et les Huns;Annexion des Alains a l'empire Huns;Expension Hunniques;Alains,Huns
371;375;guerre;Empire Ostrogoths;none;Destruction d'un royaume Ostrogoths en ukraine et migration des Ostrogoths;Arrives des Huns et des Alains;Ostrogoths,Huns,Alains
406;410;guerre;Europe du Sud;none;Explosion de l'empire romain d'occident;Creation des royaumes germains partour dans l'empire;Empire Romain d'occident,Alamans,Sassanides,Huns,Alains,Goths,Francs,Vandales,Burgondes,
406;410;chute de l empire romain ;occident;none;debut du moyen Age;exclusion du trone de l'empereur romain Romulus Augustule;germain
410;410;guerre;Rome;Sac de Rome;Declin de l'empire romain d'occident;Les wisigoths veulent recuperer leurs terres;Empire romain d'occident,Wisigoths
434;451;pouvoir;Empire Huns;Attila Empereur des Huns;Augmentation des attaques Huns en Europe;Succession de pouvoirs;Huns
455;455;guerre;Rome;Sac de Rome;Fin de l'empire romain d'occiendent;Appel des vandales par Eudoxie contre l'empereur romain;Empire romain d'occident,Vandales
476;476;guerre;Rome;Mort du dernier empereur romain;fin de l'empire romain, debut du moyen age;les Barbares ont accules romes;Empire romain d'orient,Barbares
488;488;guerre;Balkans;Attaque du Royaume Ostrogoth par les byzantins;Deplacement des Ostrogoths en Italie;Expension byzantines;Royaume Ostrogoth,Empire Byzantin
560;600;migration;nord du Danube ;560 migration des Avars turcophones ;danube devient une puissance;Payment de tribus;Empire byzantin
582;590;stabilisation de la guerre;l Empire byzantin et le Khaganat avar;none;naissance de la Bulgarie au nord de la byzantin;arrive des Avars en Pannonie,naissance de la serbie;L'empereur Maurice de l'empire buzantin
711;720;conquete;sud-ouest de l'Europe;Conquete de la peninsule Iberique;installation de le califat de Cordoue;expansion;arabes-berberes
793;1066;developpement urbain;nord de l'Europe;developpement des grandes villes;Les petits royaumes s associent pour accroitre leur puissance;domination par la culture viking;Scandinavie
820;840;conquete;Angleterre;conquete des iles britanniques;maintient des traditions celtes qui survivent dans un monde chretien;expansion;Anglais, Gallois, ecossais et Irlandais
820;840;conquete;Europe de l'ouest;Domination de l Europe de l ouest;naissance de la culture germanique;accisition des terres;France,Italie,peuple germanique
872;880;Paix dans la norvege;Norvege;none; le roi Harald Ier roi de Norvege;victoire de Hafrsfjord;Norvege
980;1000;Paix dans le danemark;Danemark;none;Les Danois deveniennent chretiens;conquete de la norvege et du danemark;Danemark
1337;1453;Guerre de 100 ans;France;Guerre de 100ans;Plusieurs morts;tentavis de prise de controle des forts anglais;Comte d'Anjou, Comte du Main,Angleterre
1381;1390;epidemie;Angleterre;soulevement populaire ;printemps 1381, revolte des milieux populaires, influences par le lollardisme.;peste noire;economie
1407;1437;La defaite de la France;France;Guerre de 100ans;guerre civile entre Armagnacs et Bourguignons;Guerre de 100 ans;Anglais
1407;1437;Avantage des Anglais;France;Guerre de 100ans;les anglais remportent les batailles de Crecy, de Poitiers et d'Azincourt;Guerre de 100 ans;France,Angleterre
1453;1470;Victoire des francais;France;Guerre de 100ans;les anglais ne possedaient sur le continent que la ville de Calais;Guerre de 100 ans;France,Angleterre
1453;1470;chute de l Empire byzantin;l Empire byzantin;none;Les artistes byzantins refugies en Italie,redecouverte de la culture antique;guerre fasse aux turc;turc
1803;1815;Guerre;Europe ;Guerres napoleoniennes;none;Mort de plusieurs centaines de francais;France
1853;1853;Guerre;France, Empire Ottoman et Royaume unis contre l'Empirer Russe;Guerre de crimee;none;240000 morts ;France, Empire Ottoman, Royaume Unis et Empirer Russe
1885;1886;Guerre;Europe de l'est;guerre serbo-bulgare;none;Trace de nouvelles frontieres;Serbie et Bulgarie
1912;1913;Guerre;Balkans;Guerre Balkaniques;none;Decoupage du territoire balkanique;Balkans
1914;1918;Guerre;Europe ;Premiere Guerre mondiale;Meurtre de l'archiduc Francois Ferdinand;18,6 millions de morts;Toute l'europe
1939;1945;Guerre;Europe ;Seconde Guerre mondiale;Invasion de la Pologne par les Allemands;55 millions de morts dont 35 millions qui sont europeens;Toute l'europe
1947;1991;Guerre;Europe de l'est;Guerre Froide;Fin de la Seconde guerre mondiale;Fin de l'URSS et creation de nouveau pays;URSS,USA
