1919;1922;Russie;Russie du Nord,Russie du Sud;État révolutionnaire;143;Russe
1919;1923;Empire Ottoman;Turquie,Bulgarie,Grece,Bosnie;Empire;15;Turc Ottoman
1919;1923;Estonie;Estonie;République;none;Estonien
1919;1923;Lituanie;Lituanie;République;none;Lituanien
1919;1923;France;France Est,France Ouest,France du Sud;République;40;Français
1919;1923;Allemagne;Allemagne Est,Allemagne Ouest;République/Empire;80;Allemand
1919;1923;Royaume-Uni;Angleterre,Ecosse,Pays de Galles;Monarchie;45;Anglais
1919;1923;Belgique;Belgique;Royaume;8;Néerlandais
1919;1923;Espagne;Espagne,Catalogne;Monarchie;25;Espagnole
1919;1923;Portugal;Portugal;Démocratie;8;Portugais
1919;1923;Italie;Italie Centre,Italie du Sud,Italie du Nord;Dictature;44;Italien
1919;1923;Belgique;Belgique;Royaume;8;Néerlandais
1919;1923;Norvège;Norvege du Nord,Norvege du Sud;Royaume;3;Norvégien
1919;1923;Suède;Suede du Sud, Suede du Nord;Royaume;6;Suédois
1919;1923;Finlande;Finlande du Sud,Finlande du Nord;Démocratie;3;Finnois
1919;1923;Roumanie;Roumanie;Monarchie;15;Roumain
1919;1923;Suisse;Suisse;Confédération;4;Suisse allemand
1919;1923;Ireland;Irlande Nord,Irlande;République;3;Anglais
1919;1923;Bulgarie;Bulgarie;République;6;Bulgare
1919;1923;Grèce;Grece;République/Démocratie;6;Grec
1919;1923;Pologne;Pologne;République;25;Polonais
1919;1923;Tchécoslovaquie;Rep Techque;République;13;Tcèque
1919;1923;Autriche;Autriche,Hongrie,Slovenie,Slovaquie,Croatie;République;6;Allemand
1919;1923;Yougoslavie;Serbie;Monarchie;15;Serbe
1922;1923;URSS;Russie du Nord,Russie du Sud;État fédéral;180;Russe
1924;1927;Empire Ottoman;Turquie,Bulgarie,Grece,Bosnie;Empire;10;Turc Ottoman
1924;1927;Estonie;Estonie;République;none;Estonien
1924;1927;Lituanie;Lituanie;République;none;Lituanien
