1945;1948;France;France du Sud;République;40;Français
1945;1948;Allemagne;Allemagne Est,Allemagne Ouest,France Est,France Ouest;République/Empire;80;Allemand
1945;1948;Royaume-Uni;Angleterre,Ecosse,Pays de Galles;Monarchie;45;Anglais
1945;1948;Belgique;Belgique;Royaume;8;Néerlandais
1945;1948;Espagne;Espagne,Catalogne;Monarchie;25;Espagnole
1945;1948;Portugal;Portugal;Démocratie;8;Portugais
1945;1948;Italie;Italie Centre,Italie du Sud,Italie du Nord;Dictature;44;Italien
1945;1948;Belgique;Belgique;Royaume;8;Néerlandais
1945;1948;Norvège;Norvege du Nord,Norvege du Sud;Royaume;3;Norvégien
1945;1948;Suède;Suede du Sud, Suede du Nord;Royaume;6;Suédois
1945;1948;Finlande;Finlande du Sud,Finlande du Nord;Démocratie;3;Finnois
1945;1948;Roumanie;Roumanie;Monarchie;15;Roumain
1945;1948;Suisse;Suisse;Confédération;4;Suisse allemand
1945;1948;Ireland;Irlande Nord,Irlande;République;3;Anglais
1945;1948;Bulgarie;Bulgarie;République;6;Bulgare
1945;1948;Grèce;Grece;République/Démocratie;6;Grec
1945;1948;Pologne;Pologne;République;25;Polonais
1945;1948;Tchécoslovaquie;Rep Techque;République;13;Tcèque
1945;1948;Autriche;Autriche,Hongrie,Slovenie,Slovaquie,Croatie;République;6;Allemand
1945;1948;Yougoslavie;Serbie;Monarchie;15;Serbe
1945;1948;URSS;Russie du Nord,Russie du Sud,Estonie,Lituanie;État fédéral;180;Russe
1949;1954;Allemagne;Allemagne Est,Allemagne Ouest,France Est,France Ouest,France du Sud,Rep Techque,Belgique;République/Empire;180;Allemand
1949;1954;Royaume-Uni;Angleterre,Ecosse,Pays de Galles;Monarchie;55;Anglais
1949;1954;Espagne;Espagne,Catalogne;Monarchie;28;Espagnole
1949;1954;Portugal;Portugal;Démocratie;9;Portugais
1949;1954;Italie;Italie Centre,Italie du Sud,Italie du Nord;Dictature;44;Italien
1949;1954;Norvège;Norvege du Nord,Norvege du Sud;Royaume;3;Norvégien
1949;1954;Suède;Suede du Sud, Suede du Nord;Royaume;6;Suédois
1949;1954;Finlande;Finlande du Sud,Finlande du Nord;Démocratie;3;Finnois
1949;1954;Roumanie;Roumanie;Monarchie;15;Roumain
1949;1954;Suisse;Suisse;Confédération;4;Suisse allemand
1949;1954;Ireland;Irlande Nord,Irlande;République;3;Anglais
1949;1954;Bulgarie;Bulgarie;République;6;Bulgare
1949;1954;Grèce;Grece;République/Démocratie;6;Grec
